Size (mm),Category,Hardness,Wheel Name
49,"Wheels for Technical Street Skating","96A-101A","Spitfire Wheels Formula Four Tablet Lil Smokies - 49mm 99a"
50,"Wheels for Technical Street Skating","96A-101A","Spitfire Wheels Classics Gold / Black Skateboard Wheels - 50mm 99a"
51,"Wheels for Technical Street Skating","96A-101A","Mini Logo Skateboards C-Cut White Skateboard Wheels - 51mm 101a"
52,"Wheels for Technical Street Skating","96A-101A","Mini Logo Skateboards C-Cut White Skateboard Wheels - 51mm 101a"
53,"Wheels for All-around Skating, Good for Street","88A-95A","Warehouse Street Eagles Black Skateboard Wheels - 52mm 99a"
54,"Wheels for All-around Skating, Good for Street","88A-95A","Spitfire Wheels Sapphire Cruiser Clear / Green Skateboard Wheels - 53mm 90a"
55,"Wheels for All-around Skating, Good for Transition","88A-95A","Powell Peralta Dragon Formula White Skateboard Wheels 34mm CP - 54mm 93a"
56,"Wheels for All-around Skating, Good for Transition","88A-95A","Powell Peralta Dragon Formula Green Skateboard Wheels 34mm CP - 55mm 93a"
57,"Wheels for All-around Skating, Good for Transition","88A-95A","Spitfire Wheels Sapphire Cruiser Clear / Blue Skateboard Wheels - 56mm 90a"
58,"Wheels for All-around Skating, Good for Transition","88A-95A","Speedlab Wheels Soft Shells Neon Yellow Skateboard Wheels - 57mm 95a"
59,"Wheels for All-around Skating, Good for Transition","88A-95A","Powell Peralta Ray Rodriguez Skull & Sword White Skateboard Wheels - 58mm 90a"
60,"Wheels for Transition Skating","78A-87A","Spitfire Bighead Wheels - 59mm"
61,"Wheels for Transition Skating","78A-87A","Satori Movement Goo Ball Skunk Clear White Skateboard Wheels - 60mm 78a"
62,"Wheels for Transition Skating","78A-87A","Sector 9 Nineballs Premium Longboard Wheels - 61MM 78A"
63,"Wheels for Transition Skating","78A-87A","Spitfire Wheels 80HD Superwide Black Skateboard Wheels - 62mm 80a"
64,"Wheels for Transition Skating","78A-87A","Landyachtz Chubby and Fatty Hawgs Wheels - 63mm 78a"
65,"Wheels for Transition Skating, Cruisers, and Longboards","78A-87A","Powell-Peralta Dragon Formula G-Bones - 64mm"
66,"Wheels for Transition Skating, Cruisers, and Longboards","78A-87A","Blood Orange Liam Morgan Pro Series Midnight Maroon Skateboard Wheels - 65mm 82a"
67,"Wheels for Transition Skating, Cruisers, and Longboards","78A-87A","Blood Orange Smoke Black / Gold Skateboard Wheels - 66mm 84a"
68,"Wheels for Transition Skating, Cruisers, and Longboards","78A-87A","SLIME BALLS OG SLIME CRUISER SKATEBOARD WHEELS - 67mm 78a"
69,"Wheels for Transition Skating, Cruisers, and Longboards","78A-87A","MEEP SKATEBOARD WHEEL SET - 68mm 84a"
70,"Wheels for Transition Skating, Cruisers, and Longboards","78A-87A","Powell Peralta ATF Beta Paster Orange / Black Skateboard Wheels - 69mm 78a"
71+,"Wheels for Downhill Longboards","78A-87A","Venom Skateboards Dylan Hepworth Sideshow Red Skateboard Wheels - 70mm 83a"
